entry_id,pidgin_text,english_gloss,sentiment,emotion_category,emotion_secondary,register,sarcasm_flag,prosody_match,annotator_notes,topic_domain,speaker_gender,intensity,source_type,date_added,model_input,predicted_sentiment,sentiment_confidence
WZ-T-0092,Them block my account,They blocked my account,negative,shock,anger,casual,no,matched,Shock at account being frozen — common fintech pain,money,neutral,3,original,2026-04-23,[EMOTION: shock] Them block my account,negative,0.9998
WZ-T-0096,Make we price am,Let's negotiate the price,neutral,market_energy,,casual,no,matched,Opening price negotiation — very Lagos market,money,neutral,1,original,2026-04-23,[EMOTION: market_energy] Make we price am,neutral,0.9999
WZ-T-0097,Last price,What's your final price?,neutral,market_energy,,street,no,matched,Final negotiation push — buyer demanding best price,money,neutral,2,original,2026-04-23,[EMOTION: market_energy] Last price,neutral,0.9997
WZ-T-0100,My account don red,My account is overdrawn,negative,shock,hustle_fatigue,casual,no,matched,Account overdrawn or empty — visual metaphor,money,neutral,3,original,2026-04-23,[EMOTION: shock] My account don red,negative,0.9999
WZ-T-0101,My body dey hot,My body is hot — I have a fever,negative,neutral,,casual,no,matched,Physical symptom description — fever,health,neutral,2,original,2026-04-23,[EMOTION: neutral] My body dey hot,negative,0.9998
WZ-T-0102,I dey run temperature,I have a fever,negative,neutral,,casual,no,matched,Common Nigerian way of saying fever,health,neutral,2,original,2026-04-23,[EMOTION: neutral] I dey run temperature,negative,0.9999
WZ-T-0103,My head dey bang,My head is pounding,negative,neutral,,casual,no,matched,Headache description — bang as pain metaphor,health,neutral,2,original,2026-04-23,[EMOTION: neutral] My head dey bang,negative,0.9876
WZ-T-0107,Body just dey itch me since,My body has been itching,negative,neutral,,casual,no,matched,Persistent itching — since signals duration,health,neutral,2,original,2026-04-23,[EMOTION: neutral] Body just dey itch me since,negative,0.9999
WZ-T-0118,My pikin for belle dey move,My baby in my womb is moving,positive,joy,,casual,no,matched,Maternal health — baby movement in womb,health,female,2,original,2026-04-23,[EMOTION: joy] My pikin for belle dey move,positive,0.9999
WZ-T-0121,I wan die,I feel absolutely terrible — dramatic illness,negative,hustle_fatigue,,casual,no,matched,Dramatic illness expression — not literal — intensity reflects physical misery,health,neutral,3,original,2026-04-23,[EMOTION: hustle_fatigue] I wan die,negative,0.9981
WZ-T-0122,I wan faint,I feel dizzy and about to faint,negative,neutral,,casual,no,matched,Physical drowsiness and dizziness — not dramatic,health,neutral,3,original,2026-04-23,[EMOTION: neutral] I wan faint,negative,0.9999
WZ-T-0124,I like you die,I like you so much,positive,joy,,casual,no,matched,Intense affection — die as intensifier,relationship,neutral,2,original,2026-04-24,[EMOTION: joy] I like you die,positive,0.9999
WZ-T-0125,You dey do me somehow,You're behaving strangely toward me,negative,suspicion,,casual,no,matched,Feeling someone is acting differently or hiding something,relationship,neutral,2,original,2026-04-24,[EMOTION: suspicion] You dey do me somehow,negative,0.9996
WZ-T-0126,I miss you die,I miss you so much,positive,craving,,casual,no,matched,Intense longing for someone absent,relationship,neutral,3,original,2026-04-24,[EMOTION: craving] I miss you die,positive,0.9984
WZ-T-0128,Gist me,Tell me the gossip,positive,joy,,casual,no,matched,Requesting gossip or news excitedly,social,neutral,2,original,2026-04-24,[EMOTION: joy] Gist me,positive,0.9999
WZ-T-0129,Who tell you?,Who told you?,negative,suspicion,anger,casual,no,matched,Challenging how someone got information,social,neutral,2,original,2026-04-24,[EMOTION: suspicion] Who tell you?,negative,0.9958
WZ-T-0132,You too sabi,You know alot/ you know very well,positive,neutral,,street,no,matched,Calling out someone who knows something well,social,neutral,2,original,2026-04-24,[EMOTION: neutral] You too sabi,positive,0.9999
WZ-T-0134,I no send,I don't care,negative,forming,,street,no,matched,Complete indifference — deliberate unbothered energy,social,neutral,2,original,2026-04-24,[EMOTION: forming] I no send,negative,0.9999
WZ-T-0135,You don do am,You've done it — impressed,positive,celebration,,casual,no,matched,Impressed acknowledgement of achievement,social,neutral,2,original,2026-04-24,[EMOTION: celebration] You don do am,positive,0.9999
WZ-T-0136,E don do am,He/she has done it,positive,celebration,,casual,no,matched,Third person achievement acknowledgement,social,neutral,2,original,2026-04-24,[EMOTION: celebration] E don do am,positive,0.9999
WZ-T-0137,Who you epp?,who cares about you? — dismissal,negative,forming,,street,yes,matched,Rhetorical — implying someone's actions are useless,social,neutral,3,original,2026-04-24,[EMOTION: forming] Who you epp?,negative,0.902
WZ-T-0138,You too like follow follow,You follow others too easily,negative,suspicion,,casual,no,matched,Criticising someone who copies others,social,neutral,2,original,2026-04-24,[EMOTION: suspicion] You too like follow follow,negative,0.999
WZ-T-0144,You do me strong thing,You did something serious to me,negative,betrayal,,casual,no,matched,Feeling seriously wronged by someone,relationship,neutral,3,original,2026-04-24,[EMOTION: betrayal] You do me strong thing,negative,0.9999
WZ-T-0145,We go see,We will meet — threat or promise,neutral,suspicion,,street,no,matched,Ambiguous — can be threat or general promise depending on tone,social,neutral,2,original,2026-04-24,[EMOTION: suspicion] We go see,neutral,0.9987
WZ-T-0146,E be your mate?,Is he/she your equal?,negative,pride,,street,no,matched,Dismissing someone as beneath you,social,neutral,3,original,2026-04-24,[EMOTION: pride] E be your mate?,negative,0.9994
WZ-T-0147,You and who?,You and who exactly? — challenge,negative,anger,,street,no,matched,Challenging someone who is being confrontational,conflict,neutral,3,original,2026-04-24,[EMOTION: anger] You and who?,negative,0.9998
WZ-T-0148,You wan do am?,Do you want to do it? — confrontational,negative,anger,,street,no,matched,Aggressive challenge — are you sure you want this confrontation,conflict,neutral,3,original,2026-04-24,[EMOTION: anger] You wan do am?,negative,0.9998
WZ-T-0153,I don tire,I am exhausted,negative,hustle_fatigue,,casual,no,matched,Complete exhaustion,work,neutral,3,original,2026-04-24,[EMOTION: hustle_fatigue] I don tire,negative,0.9987
WZ-T-0154,When e go better?,When will things improve?,negative,craving,,casual,no,matched,Longing for better circumstances,work,neutral,2,original,2026-04-24,[EMOTION: craving] When e go better?,negative,0.9999
WZ-T-0156,I go make am,I will make it,positive,pride,,casual,no,matched,Determination and self-belief,work,neutral,3,original,2026-04-24,[EMOTION: pride] I go make am,positive,0.9999
WZ-T-0158,E don pay,It has paid off,positive,celebration,,casual,no,matched,Work or effort has yielded results,work,neutral,3,original,2026-04-24,[EMOTION: celebration] E don pay,positive,0.9999
WZ-T-0163,Nobody go stop me,Nobody will stop me,positive,pride,,street,no,matched,Fierce determination,work,neutral,3,original,2026-04-24,[EMOTION: pride] Nobody go stop me,positive,0.9999
WZ-T-0164,They no want make we shine,They don't want us to succeed,negative,betrayal,suspicion,street,no,matched,Feeling of systemic opposition,work,neutral,3,original,2026-04-24,[EMOTION: betrayal] They no want make we shine,negative,0.9999
WZ-T-0165,I go show them,I will prove them wrong,positive,pride,,street,no,matched,Motivation from opposition,work,neutral,3,original,2026-04-24,[EMOTION: pride] I go show them,positive,0.9999
WZ-T-0166,E don reach my turn,It is now my turn,positive,celebration,,casual,no,matched,Sense of deserved breakthrough arriving,work,neutral,3,original,2026-04-24,[EMOTION: celebration] E don reach my turn,positive,0.9999
WZ-T-0167,I no come this far to fail,I did not come this far to fail,positive,pride,hustle_fatigue,street,no,matched,Resilience under pressure,work,neutral,3,original,2026-04-24,[EMOTION: pride] I no come this far to fail,positive,0.9994
WZ-T-0171,Lagos no dey carry last,Lagos never comes last,positive,pride,,street,no,matched,Lagos pride and competitive spirit,social,neutral,3,original,2026-04-24,[EMOTION: pride] Lagos no dey carry last,positive,0.9972
WZ-T-0172,E don cast,It has been exposed/ruined,negative,shock,betrayal,street,no,matched,Something embarrassing has been revealed,social,neutral,3,original,2026-04-24,[EMOTION: shock] E don cast,negative,0.9999
WZ-T-0173,I don blow,I have made it in life,positive,celebration,pride,street,no,matched,Breakthrough achievement — made it big,work,neutral,3,original,2026-04-24,[EMOTION: celebration] I don blow,positive,0.9999
WZ-T-0175,The food don ready,The food is ready,positive,joy,,casual,no,matched,Announcing meal is prepared,food,neutral,2,original,2026-04-24,[EMOTION: joy] The food don ready,positive,0.9999
WZ-T-0176,This food sweet die,This food is delicious,positive,joy,,casual,no,matched,Intense food enjoyment,food,neutral,3,original,2026-04-24,[EMOTION: joy] This food sweet die,positive,0.9999
WZ-T-0179,I dey hungry die,I am extremely hungry,negative,craving,,casual,no,matched,Intense hunger,food,neutral,3,original,2026-04-24,[EMOTION: craving] I dey hungry die,negative,0.9997
WZ-T-0183,You wan fight?,Do you want to fight?,negative,anger,,street,no,matched,Direct confrontation challenge,conflict,neutral,3,original,2026-04-24,[EMOTION: anger] You wan fight?,negative,0.9999
WZ-T-0184,Try am,Try it — dare,negative,anger,,street,no,matched,Daring someone to act — aggressive warning,conflict,neutral,3,original,2026-04-24,[EMOTION: anger] Try am,negative,0.9998
WZ-T-0185,You dey craze?,Are you crazy?,negative,anger,shock,street,no,matched,Disbelief at someone's behavior,conflict,neutral,3,original,2026-04-24,[EMOTION: anger] You dey craze?,negative,0.9999
WZ-T-0187,You go hear am,You will see the negative effect,negative,anger,suspicion,street,no,matched,Implicit threat — you will face consequences,conflict,neutral,3,original,2026-04-24,[EMOTION: anger] You go hear am,negative,0.9999
WZ-T-0199,You gats wise up,You need to wise up,neutral,neutral,,street,no,matched,Firm advice — warning someone to be more alert and streetwise — cautionary not angry,social,neutral,2,original,2026-04-24,[EMOTION: neutral] You gats wise up,neutral,0.9998
WZ-T-0202,You never see thank you na em you dey find very much,You have not seen basic gratitude yet you want more,negative,forming,,casual,yes,matched,Sarcasm about ingratitude — someone ungrateful expecting more,social,neutral,3,original,2026-04-27,[EMOTION: forming] You never see thank you na em you dey find very much,negative,0.9999
WZ-T-0203,You go hear am,You will face consequences,negative,anger,,street,yes,matched,Implicit threat said casually but means serious consequence coming,conflict,neutral,3,original,2026-04-27,[EMOTION: anger] You go hear am,negative,0.9999
WZ-T-0204,Feel at home feel at home na so visitor take dey spoil television,Make yourself at home is how visitors end up ruining things,negative,sarcasm,,proverbial,yes,matched,Proverbial sarcasm about guests overstepping boundaries,social,neutral,2,original,2026-04-27,[EMOTION: sarcasm] Feel at home feel at home na so visitor take dey spoil television,negative,0.9999
WZ-T-0205,No cut people off when your account balance no reach to buy knife,Do not act big when you are broke,negative,sarcasm,,proverbial,yes,matched,Proverbial sarcasm targeting financial pretension,money,neutral,3,original,2026-04-27,[EMOTION: sarcasm] No cut people off when your account balance no reach to buy knife,negative,0.9999
WZ-T-0206,Today newspaper na tomorrow suya wrap,Today fame is temporary,negative,sarcasm,,proverbial,yes,matched,Sarcastic take on hype and temporary relevance,social,neutral,2,original,2026-04-27,[EMOTION: sarcasm] Today newspaper na tomorrow suya wrap,negative,0.9998
WZ-T-0207,Cow wey dey hurry to go America go come back as corn beef,Rushing into bad decisions has consequences,negative,sarcasm,,proverbial,yes,matched,Proverbial warning against rushing — sarcastic delivery,life,neutral,3,original,2026-04-27,[EMOTION: sarcasm] Cow wey dey hurry to go America go come back as corn beef,negative,0.9999
WZ-T-0208,Person wey dey sleep with itchy anus de wake up with smelly fingers,Actions have consequences you cannot avoid,negative,sarcasm,,proverbial,yes,matched,Proverbial sarcastic warning about inevitable consequences,life,neutral,3,original,2026-04-27,[EMOTION: sarcasm] Person wey dey sleep with itchy anus de wake up with smelly fingers,negative,0.9999
WZ-T-0209,You go dey trust man,This is what you get for trusting a man,negative,betrayal,,street,no,matched,Betrayal by a man — warning against male trust,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] You go dey trust man,negative,0.9999
WZ-T-0210,You go dey trust Adam,This is what trusting a man gets you,negative,betrayal,,street,no,matched,Adam as symbolic reference for all men — deeper betrayal register,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] You go dey trust Adam,negative,0.9999
WZ-T-0211,You go dey trust woman,This is what you get for trusting a woman,negative,betrayal,,street,no,matched,Betrayal by a woman,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] You go dey trust woman,negative,0.9999
WZ-T-0212,You go dey trust Eve,This is what trusting a woman gets you,negative,betrayal,,street,no,matched,Eve as symbolic reference for all women — deeper betrayal register,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] You go dey trust Eve,negative,0.9999
WZ-T-0213,Na my person do me this thing,My own trusted person did this to me,negative,betrayal,,casual,no,matched,Betrayal from someone close — my person signals trusted inner circle,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] Na my person do me this thing,negative,0.9999
WZ-T-0214,I trust am with my life,I trusted them completely and was betrayed,negative,betrayal,,casual,no,matched,Past tense implies trust was broken — deep betrayal,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] I trust am with my life,negative,0.9999
WZ-T-0215,Snake dey inside grass,Danger hides among trusted people,negative,betrayal,suspicion,proverbial,no,matched,Proverbial warning about hidden enemies in trusted circles,social,neutral,3,original,2026-04-27,[EMOTION: betrayal] Snake dey inside grass,negative,0.9999
WZ-T-0216,Na who dey near you go wound you,Those closest to you will hurt you,negative,betrayal,,proverbial,no,matched,Proverbial — betrayal comes from close relationships not strangers,relationship,neutral,3,original,2026-04-27,[EMOTION: betrayal] Na who dey near you go wound you,negative,0.9999
WZ-T-0217,I dey carry belle,I am pregnant,positive,joy,,casual,no,matched,Announcing pregnancy — belly carrying metaphor,health,female,2,original,2026-05-05,[EMOTION: joy] I dey carry belle,positive,0.9999
WZ-T-0218,My belle don show,My pregnancy is showing now,positive,joy,,casual,no,matched,Pregnancy becoming visible — social announcement register,health,female,2,original,2026-05-05,[EMOTION: joy] My belle don show,positive,0.9999
WZ-T-0219,I dey feel nausea since morning,I have been feeling nauseous since morning,negative,neutral,,casual,no,matched,Morning sickness description — very common maternal complaint,health,female,2,original,2026-05-05,[EMOTION: neutral] I dey feel nausea since morning,negative,0.9999
WZ-T-0222,Midwife tell me say pikin dey head down,The midwife told me the baby is in head-down position,positive,joy,prayer_gratitude,casual,no,matched,Positive positioning news from midwife — relief and gratitude,health,female,2,original,2026-05-05,[EMOTION: joy] Midwife tell me say pikin dey head down,positive,0.9999
WZ-T-0224,I don born oh,I have given birth,positive,celebration,prayer_gratitude,casual,no,matched,Birth announcement — overwhelming joy and relief,health,female,3,original,2026-05-05,[EMOTION: celebration] I don born oh,positive,0.9999
WZ-T-0229,Nobody tell me say after birth go hard like this,Nobody told me postpartum would be this difficult,negative,betrayal,hustle_fatigue,casual,no,matched,Postpartum shock — feeling unwarned and overwhelmed,health,female,3,original,2026-05-05,[EMOTION: betrayal] Nobody tell me say after birth go hard like this,negative,0.9999
WZ-T-0231,Cramp dey wound me,Cramps are killing me,negative,neutral,,casual,no,matched,Period cramp pain — very common female health complaint,health,female,3,original,2026-05-05,[EMOTION: neutral] Cramp dey wound me,negative,0.9999
WZ-T-0233,I never see my period this month,I haven't seen my period this month,negative,suspicion,,casual,no,matched,Missed period — anxiety and uncertainty,health,female,2,original,2026-05-05,[EMOTION: suspicion] I never see my period this month,negative,0.9995
WZ-T-0242,I need make somebody hold me,I need someone to hold me,negative,craving,,casual,no,matched,Craving physical comfort and support — vulnerable emotional state,health,female,3,original,2026-05-05,[EMOTION: craving] I need make somebody hold me,negative,0.9999
WZ-T-0243,I don dey feel am since after I lost am,I have been feeling it since after I lost the pregnancy,negative,betrayal,hustle_fatigue,casual,no,matched,Grief after miscarriage — deeply personal loss register,health,female,3,original,2026-05-05,[EMOTION: betrayal] I don dey feel am since after I lost am,negative,0.9999
WZ-T-0244,My mama health no dey fine since last month,My mother's health has not been good since last month,negative,neutral,hustle_fatigue,casual,no,matched,Caring for sick parent — daughter as caregiver,health,female,2,original,2026-05-05,[EMOTION: neutral] My mama health no dey fine since last month,negative,0.9998
WZ-T-0256,Doctor say my fibroid don grow,The doctor said my fibroid has grown,negative,shock,hustle_fatigue,casual,no,matched,Shock at fibroid growth news from doctor,health,female,3,original,2026-05-05,[EMOTION: shock] Doctor say my fibroid don grow,negative,0.9996
WZ-T-0258,I don do the test — result dey negative,I have done the test — the result is negative,positive,joy,prayer_gratitude,casual,no,matched,Negative test result — relief and gratitude,health,female,2,original,2026-05-05,[EMOTION: joy] I don do the test — result dey negative,positive,0.9999
WZ-T-0265,This man dey take me for granted,This man takes me for granted,negative,anger,betrayal,casual,no,matched,Feeling undervalued in relationship — direct statement,relationship,female,3,original,2026-05-05,[EMOTION: anger] This man dey take me for granted,negative,0.9999
WZ-T-0267,He say e love me but action no show,He says he loves me but his actions don't show it,negative,betrayal,suspicion,casual,no,matched,Gap between words and actions — female relationship frustration,relationship,female,3,original,2026-05-05,[EMOTION: betrayal] He say e love me but action no show,negative,0.9999
WZ-T-0268,I just want make somebody appreciate me,I just want someone to appreciate me,negative,craving,,casual,no,matched,Longing for appreciation — emotional vulnerability,relationship,female,2,original,2026-05-05,[EMOTION: craving] I just want make somebody appreciate me,negative,0.9995
WZ-T-0272,My heart dey for am but my head say no,My heart is with him but my head says no,negative,hustle_fatigue,suspicion,casual,no,matched,Heart vs head conflict — classic female romantic dilemma,relationship,female,3,original,2026-05-05,[EMOTION: hustle_fatigue] My heart dey for am but my head say no,negative,0.9994
WZ-T-0273,He bring me flower today after everything wey e do,He brought me flowers today after everything he did,neutral,contempt,,casual,no,matched,Sarcasm — gesture too small for offense committed,relationship,female,2,original,2026-05-05,[EMOTION: contempt] He bring me flower today after everything wey e do,neutral,0.9999
WZ-T-0274,We don talk am settle,We have talked and settled it,positive,joy,,casual,no,matched,Reconciliation after conflict — relief,relationship,female,2,original,2026-05-05,[EMOTION: joy] We don talk am settle,positive,0.9999
WZ-T-0276,God answer my prayer oh,God answered my prayer,positive,prayer_gratitude,,casual,no,matched,Testimony of answered prayer — female faith register,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] God answer my prayer oh,positive,0.9999
WZ-T-0277,I been dey pray for this for long,I have been praying for this for a long time,positive,prayer_gratitude,joy,casual,no,matched,Long-awaited prayer answered — deep gratitude,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] I been dey pray for this for long,positive,0.9996
WZ-T-0280,God see wetin dem do me,God sees what they did to me,negative,prayer_gratitude,betrayal,casual,no,matched,Appealing to God as witness after being wronged,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] God see wetin dem do me,negative,0.9831
WZ-T-0281,My God no go fail me,My God will not fail me,positive,prayer_gratitude,,casual,no,matched,Faith affirmation under pressure — strong conviction,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] My God no go fail me,positive,0.9999
WZ-T-0282,E be God wey do am,It is God who did it,positive,prayer_gratitude,celebration,casual,no,matched,Attributing breakthrough to God — testimony register,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] E be God wey do am,positive,0.9988
WZ-T-0287,I no get time for fake friends,I don't have time for fake friends,negative,forming,,street,no,matched,Rejecting fake friendships — boundary statement,social,female,2,original,2026-05-05,[EMOTION: forming] I no get time for fake friends,negative,0.9998
WZ-T-0288,My girls we move together,My girls we go together,positive,celebration,,street,no,matched,Female solidarity and group loyalty — hype energy,social,female,3,original,2026-05-05,[EMOTION: celebration] My girls we move together,positive,0.9999
WZ-T-0289,She carry my matter go tell everybody,She took my matter and told everybody,negative,betrayal,anger,casual,no,matched,Betrayal of confidence — gossip betrayal,social,female,3,original,2026-05-05,[EMOTION: betrayal] She carry my matter go tell everybody,negative,0.9999
WZ-T-0291,See as she come dress,Look at how she came dressed,negative,neutral,,street,no,matched,Commenting on someone's appearance — social judgment,social,female,2,original,2026-05-05,[EMOTION: neutral] See as she come dress,negative,0.9996
WZ-T-0292,She too dey form she no dey collect advice,She is too proud to take advice,negative,forming,anger,casual,no,matched,Calling out pride that blocks growth,social,female,2,original,2026-05-05,[EMOTION: forming] She too dey form she no dey collect advice,negative,0.9995
WZ-T-0297,They no take woman serious for this office,They do not take women seriously in this office,negative,anger,betrayal,casual,no,matched,Gender discrimination at workplace — direct observation,work,female,3,original,2026-05-05,[EMOTION: anger] They no take woman serious for this office,negative,0.9999
WZ-T-0298,I get am because I work for am not because of man,I got it because I worked for it not because of a man,positive,pride,,street,no,matched,Asserting independent achievement — rejecting patronage narrative,work,female,3,original,2026-05-05,[EMOTION: pride] I get am because I work for am not because of man,positive,0.9999
WZ-T-0299,I dey balance work and pikin and e no easy,I am balancing work and child and it is not easy,negative,hustle_fatigue,,casual,no,matched,Working mother burden — double shift reality,work,female,3,original,2026-05-05,[EMOTION: hustle_fatigue] I dey balance work and pikin and e no easy,negative,0.9989
WZ-T-0301,I build this thing myself from nothing,I built this thing myself from nothing,positive,pride,celebration,street,no,matched,Female founder pride — self-made achievement,work,female,3,original,2026-05-05,[EMOTION: pride] I build this thing myself from nothing,positive,0.9998
WZ-T-0302,Nobody go give you anything you go take am,Nobody will give you anything you have to take it,positive,pride,hustle_fatigue,street,no,matched,Female hustle philosophy — take what is yours,work,female,3,original,2026-05-05,[EMOTION: pride] Nobody go give you anything you go take am,positive,0.9999
