entry_id,pidgin_text,english_gloss,sentiment,emotion_category,emotion_secondary,register,sarcasm_flag,prosody_match,annotator_notes,topic_domain,speaker_gender,intensity,source_type,date_added
WZ-T-0046,No be small thing,This exceeded expectations,positive,pride,,casual,no,matched,Happy about outcome — slightly exceeded expectation or genuine admiration,social,neutral,2,original,2026-04-23
WZ-T-0047,See your life,Look at the state of you,negative,neutral,,street,no,matched,Pure mockery — no affectionate version,social,neutral,2,original,2026-04-23
WZ-T-0048,I hail,I respect you,positive,pride,,casual,no,matched,Pure respect and acknowledgement — never sarcastic,social,neutral,1,original,2026-04-23
WZ-T-0049,Shine your eye,Be alert — warning of danger or deceit,negative,suspicion,,street,no,matched,Warning for deceitful cunning unpredictable or risky situations,social,neutral,2,original,2026-04-23
WZ-T-0050,Shine your eye well well,Be very alert — strong warning,negative,suspicion,,street,no,matched,Intensified version — situation is seriously risky or dangerous,social,neutral,3,original,2026-04-23
WZ-T-0051,How much be the money?,How much does it cost?,neutral,neutral,,casual,no,matched,Simple price inquiry,money,neutral,1,original,2026-04-23
WZ-T-0052,Allawee don show,Allowance has arrived,positive,celebration,,casual,no,matched,Joy at receiving allowance,money,neutral,2,original,2026-04-23
WZ-T-0053,Salary don show,Salary has arrived,positive,celebration,,casual,no,matched,Joy at receiving salary,money,neutral,3,original,2026-04-23
WZ-T-0054,I no get money,I don't have money,negative,hustle_fatigue,,casual,no,matched,Plain statement of being broke,money,neutral,1,original,2026-04-23
WZ-T-0055,Owu dey blow me,Poverty is hitting me hard,negative,hustle_fatigue,,street,no,matched,Humorous informal word for poverty — same as sapa,money,neutral,2,original,2026-04-23
WZ-T-0056,Sapa dey,There's no money — poverty is present,negative,hustle_fatigue,,street,no,matched,Sapa = symbolic word for poverty — dey confirms its presence,money,neutral,2,original,2026-04-23
WZ-T-0057,Sapa,Poverty — I am broke,negative,hustle_fatigue,,street,no,matched,Standalone sapa — more intense — I AM the poverty,money,neutral,3,original,2026-04-23
WZ-T-0058,I no hold money,I don't have money,negative,hustle_fatigue,,casual,no,matched,Money comes and goes — can't retain it,money,neutral,2,original,2026-04-23
WZ-T-0059,Comot money for me now?,Give me a discount,neutral,market_energy,,casual,no,matched,Requesting discount — direct ask,money,neutral,1,original,2026-04-23
WZ-T-0060,No charge me oh,Don't give me an expensive price,negative,market_energy,,casual,no,matched,Requesting not to be overcharged — mild plea,money,neutral,1,original,2026-04-23
WZ-T-0061,You too cost,You are too expensive,negative,market_energy,,street,no,matched,Frustration at high price of person or thing,money,neutral,2,original,2026-04-23
WZ-T-0062,E cost oh,It's expensive,negative,market_energy,,casual,no,matched,General complaint about price,money,neutral,2,original,2026-04-23
WZ-T-0063,I dey owe,I am in debt,negative,hustle_fatigue,,casual,no,matched,Stating debt situation plainly,money,neutral,1,original,2026-04-23
WZ-T-0064,I no fit pay,I can't afford to pay,negative,hustle_fatigue,,casual,no,matched,Inability to pay — resigned,money,neutral,2,original,2026-04-23
WZ-T-0065,Come collect your money,Come and take your money,neutral,neutral,,casual,no,matched,Telling someone to collect what is owed to them,money,neutral,1,original,2026-04-23
WZ-T-0066,Bank debit me yesterday,The bank debited me yesterday,negative,shock,anger,casual,no,matched,Surprise and frustration at unexpected debit,money,neutral,2,original,2026-04-23
WZ-T-0067,Opay dem debit me yesterday,Opay debited me yesterday,negative,shock,anger,street,no,matched,Same as bank debit but specific to Opay — very natural Lagos fintech speech,money,neutral,2,original,2026-04-23
WZ-T-0068,Credit alert dey hungry me,I really want to get a credit alert,negative,craving,,street,no,matched,Intense longing for money to land in account,money,neutral,3,original,2026-04-23
WZ-T-0069,I never get alert,I haven't received an alert yet,negative,craving,,casual,no,matched,Waiting anxiously for payment to arrive,money,neutral,2,original,2026-04-23
WZ-T-0070,You no go comot money for me?,Won't you give me a discount?,negative,suspicion,,casual,no,matched,Pleading with frustration — rhetorical discount request,money,neutral,2,original,2026-04-23
WZ-T-0071,Wetin you wan buy?,What do you want to buy?,neutral,neutral,,casual,no,matched,Seller asking buyer intent,money,neutral,1,original,2026-04-23
WZ-T-0072,Wetin you dey sell?,What are you selling?,neutral,neutral,,casual,no,matched,Buyer asking seller what they have,money,neutral,1,original,2026-04-23
WZ-T-0073,Your price fit kill persin,Your price can kill someone,negative,market_energy,,street,no,matched,Rhetorical frustration at extremely high price,money,neutral,3,original,2026-04-23
WZ-T-0074,Persin no fit buy market from your hand oh?,Someone can't buy something from you oh,negative,market_energy,,street,no,matched,Rhetorical frustration — prices too high for anyone to afford,money,neutral,3,original,2026-04-23
WZ-T-0075,No send me go village oh,Don't make me broke,negative,suspicion,,street,no,matched,Warning not to drain someone financially,money,neutral,2,original,2026-04-23
WZ-T-0076,How much be d thing?,How much is it?,neutral,neutral,,casual,no,matched,Casual price inquiry — d is the,money,neutral,1,original,2026-04-23
WZ-T-0077,No dey owe persin,Don't owe people,neutral,neutral,,casual,no,matched,Advice against owing people — proverb-like,money,neutral,1,original,2026-04-23
WZ-T-0078,You too beg,You beg too much,negative,anger,,street,no,matched,Frustration at someone who constantly asks for things,money,neutral,2,original,2026-04-23
WZ-T-0079,Abeg help me transfer money,Please help me transfer money,neutral,neutral,,casual,no,matched,Polite request for transfer help,money,neutral,1,original,2026-04-23
WZ-T-0080,Transfer no dey go,The transfer is not going through,negative,anger,shock,casual,no,matched,Frustration at failed transfer — very common Lagos fintech pain,money,neutral,2,original,2026-04-23
WZ-T-0081,Bank never open,The bank hasn't opened yet,neutral,neutral,,casual,no,matched,Stating bank is not yet open,money,neutral,1,original,2026-04-23
WZ-T-0082,You don pay?,Have you paid?,neutral,neutral,,casual,no,matched,Simple payment confirmation check,money,neutral,1,original,2026-04-23
WZ-T-0083,Card no dey work oh,My card is not working,negative,anger,shock,casual,no,matched,Frustration at card failure — common fintech pain point,money,neutral,2,original,2026-04-23
WZ-T-0084,Abeg transfer my money,Please transfer my money,neutral,neutral,,casual,no,matched,Direct request for transfer,money,neutral,1,original,2026-04-23
WZ-T-0085,I no fit buy am that price,I can't buy it at that price,negative,market_energy,,casual,no,matched,Price negotiation — rejecting current price,money,neutral,2,original,2026-04-23
WZ-T-0086,No be small money oh,This is not a small amount of money,negative,shock,,casual,no,matched,Expressing that the amount is significant,money,neutral,2,original,2026-04-23
WZ-T-0087,Money no dey,There is no money,negative,hustle_fatigue,,casual,no,matched,Plain statement — broke,money,neutral,2,original,2026-04-23
WZ-T-0088,I no fit buy am,I cannot afford it,negative,hustle_fatigue,,casual,no,matched,Simple inability to afford — resigned,money,neutral,1,original,2026-04-23
WZ-T-0089,You never pay me,You haven't paid me yet,negative,anger,,casual,no,matched,Demanding unpaid debt — direct,money,neutral,2,original,2026-04-23
WZ-T-0090,Where my money dey?,Where is my money?,negative,anger,,casual,no,matched,Demanding owed money — escalated,money,neutral,3,original,2026-04-23
WZ-T-0091,E don enter my account,It has entered my account,positive,celebration,,casual,no,matched,Joy at money landing — alert received,money,neutral,3,original,2026-04-23
WZ-T-0092,Them block my account,They blocked my account,negative,shock,anger,casual,no,matched,Shock at account being frozen — common fintech pain,money,neutral,3,original,2026-04-23
WZ-T-0093,I go pay you back,I will pay you back,neutral,neutral,,casual,no,matched,Promise to repay debt,money,neutral,1,original,2026-04-23
WZ-T-0094,When you go pay me?,When are you going to pay me?,negative,anger,suspicion,casual,no,matched,Frustrated creditor demanding repayment timeline,money,neutral,2,original,2026-04-23
WZ-T-0095,E cheap,It's cheap,positive,market_energy,,casual,no,matched,Positive reaction to affordable price,money,neutral,1,original,2026-04-23
WZ-T-0096,Make we price am,Let's negotiate the price,neutral,market_energy,,casual,no,matched,Opening price negotiation — very Lagos market,money,neutral,1,original,2026-04-23
WZ-T-0097,Last price,What's your final price?,neutral,market_energy,,street,no,matched,Final negotiation push — buyer demanding best price,money,neutral,2,original,2026-04-23
WZ-T-0098,I go manage am,I will make do with it,negative,hustle_fatigue,,casual,no,matched,Accepting something despite it not being ideal,money,neutral,1,original,2026-04-23
WZ-T-0099,No be here I go find money,This is not where I will make money,negative,pride,,street,no,matched,Rejecting a bad deal with confidence — walking away energy,money,neutral,2,original,2026-04-23
WZ-T-0100,My account don red,My account is overdrawn,negative,shock,hustle_fatigue,casual,no,matched,Account overdrawn or empty — visual metaphor,money,neutral,3,original,2026-04-23
WZ-T-0101,My body dey hot,My body is hot — I have a fever,negative,neutral,,casual,no,matched,Physical symptom description — fever,health,neutral,2,original,2026-04-23
WZ-T-0102,I dey run temperature,I have a fever,negative,neutral,,casual,no,matched,Common Nigerian way of saying fever,health,neutral,2,original,2026-04-23
WZ-T-0103,My head dey bang,My head is pounding,negative,neutral,,casual,no,matched,Headache description — bang as pain metaphor,health,neutral,2,original,2026-04-23
WZ-T-0104,E be like say I dey sick,I think I am sick,negative,neutral,,casual,no,matched,Speaker uncertain about illness — self-diagnosis realization register,health,neutral,1,original,2026-04-23
WZ-T-0105,I no get appetite,I have no appetite,negative,neutral,,casual,no,matched,Loss of appetite — common illness symptom,health,neutral,1,original,2026-04-23
WZ-T-0106,Belle dey bite me,My stomach is cramping,negative,neutral,,casual,no,matched,Stomach pain — bite as cramp metaphor,health,neutral,2,original,2026-04-23
WZ-T-0107,Body just dey itch me since,My body has been itching,negative,neutral,,casual,no,matched,Persistent itching — since signals duration,health,neutral,2,original,2026-04-23
WZ-T-0108,I no fit waka,I cannot walk,negative,hustle_fatigue,,casual,no,matched,Physical weakness preventing movement,health,neutral,2,original,2026-04-23
WZ-T-0109,My body dey shake,My body is shaking,negative,neutral,,casual,no,matched,Shivering or trembling — fever symptom,health,neutral,2,original,2026-04-23
WZ-T-0110,I wan go see doctor,I want to go see a doctor,negative,neutral,,casual,no,matched,Seeking medical help,health,neutral,1,original,2026-04-23
WZ-T-0111,Doctor tell me say I need lie down,The doctor told me I need to rest,neutral,neutral,,casual,no,matched,Reporting doctor's instruction,health,neutral,1,original,2026-04-23
WZ-T-0112,I wan shook injection,I want to receive an injection,neutral,neutral,,casual,no,matched,Requesting injection — shook is Nigerian medical slang for receiving an injection,health,neutral,1,original,2026-04-23
WZ-T-0113,Nurse shook me injection,The nurse gave me an injection,neutral,neutral,,casual,no,matched,Reporting received injection,health,neutral,1,original,2026-04-23
WZ-T-0114,You go take the drugs morning and night,Take the medication morning and night,neutral,neutral,,casual,no,matched,Medication instruction — someone advising another person,health,neutral,1,original,2026-04-23
WZ-T-0115,No go overdose oh,Don't overdose on medication,neutral,neutral,,casual,no,matched,Health warning — instructing someone not to take too much medication,health,neutral,2,original,2026-04-23
WZ-T-0116,Go take medicine,Go take your medicine,neutral,neutral,,casual,no,matched,Direct instruction to another person to take medication,health,neutral,1,original,2026-04-23
WZ-T-0117,My body just weak,My body is completely weak,negative,hustle_fatigue,,casual,no,matched,General physical weakness,health,neutral,2,original,2026-04-23
WZ-T-0118,My pikin for belle dey move,My baby in my womb is moving,positive,joy,,casual,no,matched,Maternal health — baby movement in womb,health,female,2,original,2026-04-23
WZ-T-0119,My belle don dey big,My belly is getting big — pregnancy,neutral,neutral,,casual,no,matched,Pregnancy progression — belly growing — context is pregnant woman,health,female,1,original,2026-04-23
WZ-T-0120,I wan go antenatal,I want to go for antenatal care,neutral,neutral,,casual,no,matched,Seeking maternal healthcare,health,female,1,original,2026-04-23
WZ-T-0121,I wan die,I feel absolutely terrible — dramatic illness,negative,hustle_fatigue,,casual,no,matched,Dramatic illness expression — not literal — intensity reflects physical misery,health,neutral,3,original,2026-04-23
WZ-T-0122,I wan faint,I feel dizzy and about to faint,negative,neutral,,casual,no,matched,Physical drowsiness and dizziness — not dramatic,health,neutral,3,original,2026-04-23
WZ-T-0123,E go better no worry,It will get better don't worry,positive,neutral,,casual,no,matched,Consolation and encouragement in health context,health,neutral,1,original,2026-04-23
WZ-T-0124,I like you die,I like you so much,positive,joy,,casual,no,matched,Intense affection — die as intensifier,relationship,neutral,2,original,2026-04-24
WZ-T-0125,You dey do me somehow,You're behaving strangely toward me,negative,suspicion,,casual,no,matched,Feeling someone is acting differently or hiding something,relationship,neutral,2,original,2026-04-24
WZ-T-0126,I miss you die,I miss you so much,positive,craving,,casual,no,matched,Intense longing for someone absent,relationship,neutral,3,original,2026-04-24
WZ-T-0127,You too like gist,You love gossip too much,negative,contempt,,casual,no,matched,Calling out someone who talks too much,social,neutral,2,original,2026-04-24
WZ-T-0128,Gist me,Tell me the gossip,positive,joy,,casual,no,matched,Requesting gossip or news excitedly,social,neutral,2,original,2026-04-24
WZ-T-0129,Who tell you?,Who told you?,negative,suspicion,anger,casual,no,matched,Challenging how someone got information,social,neutral,2,original,2026-04-24
WZ-T-0130,E no concern you,It doesn't concern you,negative,anger,,casual,no,matched,Shutting someone out of a matter,social,neutral,2,original,2026-04-24
WZ-T-0131,Face your front abeg,Mind your own business please,negative,anger,,casual,no,matched,Direct boundary setting — telling someone to stop interfering,social,neutral,2,original,2026-04-24
WZ-T-0132,You too sabi,You know alot/ you know very well,positive,neutral,,street,no,matched,Calling out someone who knows something well,social,neutral,2,original,2026-04-24
WZ-T-0133,Na you sabi,That's your business — dismissal,neutral,neutral,,casual,no,matched,Washing hands of someone's decision,social,neutral,1,original,2026-04-24
WZ-T-0134,I no send,I don't care,negative,forming,,street,no,matched,Complete indifference — deliberate unbothered energy,social,neutral,2,original,2026-04-24
WZ-T-0135,You don do am,You've done it — impressed,positive,celebration,,casual,no,matched,Impressed acknowledgement of achievement,social,neutral,2,original,2026-04-24
WZ-T-0136,E don do am,He/she has done it,positive,celebration,,casual,no,matched,Third person achievement acknowledgement,social,neutral,2,original,2026-04-24
WZ-T-0137,Who you epp?,who cares about you? — dismissal,negative,forming,,street,yes,matched,Rhetorical — implying someone's actions are useless,social,neutral,3,original,2026-04-24
WZ-T-0138,You too like follow follow,You follow others too easily,negative,suspicion,,casual,no,matched,Criticising someone who copies others,social,neutral,2,original,2026-04-24
WZ-T-0139,I nor go lie,I won't lie — honestly,neutral,neutral,,casual,no,matched,Truthfulness signal before statement,social,neutral,1,original,2026-04-24
WZ-T-0140,On God,I swear — truthfulness emphasis,neutral,neutral,,street,no,matched,Emphasis on truth — swearing by God,social,neutral,1,original,2026-04-24
WZ-T-0141,You too talk,You talk too much,negative,anger,,casual,no,matched,Frustration at someone who over-explains or gossips,social,neutral,2,original,2026-04-24
WZ-T-0142,No vex,Don't be angry,neutral,neutral,,casual,no,matched,Calming someone down — apology adjacent,social,neutral,1,original,2026-04-24
WZ-T-0143,when my story go change,I am angry,negative,anger,,casual,no,matched,Stating anger plainly,social,neutral,2,original,2026-04-24
WZ-T-0144,You do me strong thing,You did something serious to me,negative,betrayal,,casual,no,matched,Feeling seriously wronged by someone,relationship,neutral,3,original,2026-04-24
WZ-T-0145,We go see,We will meet — threat or promise,neutral,suspicion,,street,no,matched,Ambiguous — can be threat or general promise depending on tone,social,neutral,2,original,2026-04-24
WZ-T-0146,E be your mate?,Is he/she your equal?,negative,pride,,street,no,matched,Dismissing someone as beneath you,social,neutral,3,original,2026-04-24
WZ-T-0147,You and who?,You and who exactly? — challenge,negative,anger,,street,no,matched,Challenging someone who is being confrontational,conflict,neutral,3,original,2026-04-24
WZ-T-0148,You wan do am?,Do you want to do it? — confrontational,negative,anger,,street,no,matched,Aggressive challenge — are you sure you want this confrontation,conflict,neutral,3,original,2026-04-24
WZ-T-0149,I dey grind,I am working hard,positive,hustle_energy,pride,street,no,matched,Hustling with determination,work,neutral,2,original,2026-04-24
WZ-T-0150,E no easy,It is not easy,negative,hustle_fatigue,,casual,no,matched,Acknowledging difficulty of work or life,work,neutral,2,original,2026-04-24
WZ-T-0151,The work don too much,The work is too much,negative,hustle_fatigue,,casual,no,matched,Overwhelmed by workload,work,neutral,2,original,2026-04-24
WZ-T-0152,My oga dey stress me,My boss is stressing me,negative,anger,hustle_fatigue,casual,no,matched,Work stress from superior,work,neutral,2,original,2026-04-24
WZ-T-0153,I don tire,I am exhausted,negative,hustle_fatigue,,casual,no,matched,Complete exhaustion,work,neutral,3,original,2026-04-24
WZ-T-0154,When e go better?,When will things improve?,negative,craving,,casual,no,matched,Longing for better circumstances,work,neutral,2,original,2026-04-24
WZ-T-0155,My time go come,My time will come,positive,pride,,casual,no,matched,Self-belief and patience — breakthrough coming,work,neutral,2,original,2026-04-24
WZ-T-0156,I go make am,I will make it,positive,pride,,casual,no,matched,Determination and self-belief,work,neutral,3,original,2026-04-24
WZ-T-0157,Na hustle dey pay,It's hustle that pays,positive,celebration,,street,no,matched,Affirming value of hard work,work,neutral,2,original,2026-04-24
WZ-T-0158,E don pay,It has paid off,positive,celebration,,casual,no,matched,Work or effort has yielded results,work,neutral,3,original,2026-04-24
WZ-T-0159,I just dey manage,I am just managing,negative,hustle_fatigue,,casual,no,matched,Barely getting by — surviving not thriving,work,neutral,2,original,2026-04-24
WZ-T-0160,Nothing dey happen,Nothing is happening — stagnant,negative,hustle_fatigue,,casual,no,matched,Frustration at lack of progress,work,neutral,2,original,2026-04-24
WZ-T-0161,E go work,It will work out,positive,prayer_gratitude,,casual,no,matched,Faith that things will improve,work,neutral,1,original,2026-04-24
WZ-T-0162,I dey try my best,I am trying my best,neutral,hustle_fatigue,,casual,no,matched,Effort acknowledgement under pressure,work,neutral,2,original,2026-04-24
WZ-T-0163,Nobody go stop me,Nobody will stop me,positive,pride,,street,no,matched,Fierce determination,work,neutral,3,original,2026-04-24
WZ-T-0164,They no want make we shine,They don't want us to succeed,negative,betrayal,suspicion,street,no,matched,Feeling of systemic opposition,work,neutral,3,original,2026-04-24
WZ-T-0165,I go show them,I will prove them wrong,positive,pride,,street,no,matched,Motivation from opposition,work,neutral,3,original,2026-04-24
WZ-T-0166,E don reach my turn,It is now my turn,positive,celebration,,casual,no,matched,Sense of deserved breakthrough arriving,work,neutral,3,original,2026-04-24
WZ-T-0167,I no come this far to fail,I did not come this far to fail,positive,pride,hustle_fatigue,street,no,matched,Resilience under pressure,work,neutral,3,original,2026-04-24
WZ-T-0168,We outside,We are out — celebrating,positive,celebration,,street,no,matched,Going out celebrating a win,social,neutral,2,original,2026-04-24
WZ-T-0169,Hustle no dey finish,The hustle never ends,negative,hustle_fatigue,,street,no,matched,Resigned acceptance of endless work,work,neutral,2,original,2026-04-24
WZ-T-0170,I wan rest,I want to rest,negative,hustle_fatigue,,casual,no,matched,Need for rest after sustained effort,work,neutral,2,original,2026-04-24
WZ-T-0171,Lagos no dey carry last,Lagos never comes last,positive,pride,,street,no,matched,Lagos pride and competitive spirit,social,neutral,3,original,2026-04-24
WZ-T-0172,E don cast,It has been exposed/ruined,negative,shock,betrayal,street,no,matched,Something embarrassing has been revealed,social,neutral,3,original,2026-04-24
WZ-T-0173,I don blow,I have made it in life,positive,celebration,pride,street,no,matched,Breakthrough achievement — made it big,work,neutral,3,original,2026-04-24
WZ-T-0174,I wan chop,I want to eat,neutral,craving,,casual,no,matched,Hunger — wanting food,food,neutral,1,original,2026-04-24
WZ-T-0175,The food don ready,The food is ready,positive,joy,,casual,no,matched,Announcing meal is prepared,food,neutral,2,original,2026-04-24
WZ-T-0176,This food sweet die,This food is delicious,positive,joy,,casual,no,matched,Intense food enjoyment,food,neutral,3,original,2026-04-24
WZ-T-0177,I no like this food,I don't like this food,negative,neutral,,casual,no,matched,Simple food dislike,food,neutral,1,original,2026-04-24
WZ-T-0178,Wetin we go chop?,What are we going to eat?,neutral,neutral,,casual,no,matched,Asking about meal plans,food,neutral,1,original,2026-04-24
WZ-T-0179,I dey hungry die,I am extremely hungry,negative,craving,,casual,no,matched,Intense hunger,food,neutral,3,original,2026-04-24
WZ-T-0180,The pepper too much,There is too much pepper,negative,neutral,,casual,no,matched,Food complaint about spice level,food,neutral,1,original,2026-04-24
WZ-T-0181,Abeg cook,Please cook,neutral,neutral,,casual,no,matched,Requesting someone to cook,food,neutral,1,original,2026-04-24
WZ-T-0182,I go cook,I will cook,neutral,neutral,,casual,no,matched,Committing to cooking,food,neutral,1,original,2026-04-24
WZ-T-0183,You wan fight?,Do you want to fight?,negative,anger,,street,no,matched,Direct confrontation challenge,conflict,neutral,3,original,2026-04-24
WZ-T-0184,Try am,Try it — dare,negative,anger,,street,no,matched,Daring someone to act — aggressive warning,conflict,neutral,3,original,2026-04-24
WZ-T-0185,You dey craze?,Are you crazy?,negative,anger,shock,street,no,matched,Disbelief at someone's behavior,conflict,neutral,3,original,2026-04-24
WZ-T-0186,Leave me jare,Leave me alone,negative,anger,,casual,no,matched,Demanding to be left alone,conflict,neutral,2,original,2026-04-24
WZ-T-0187,You go hear am,You will see the negative effect,negative,anger,suspicion,street,no,matched,Implicit threat — you will face consequences,conflict,neutral,3,original,2026-04-24
WZ-T-0188,Na lie,That's a lie,negative,anger,suspicion,casual,no,matched,Flat denial of something said,conflict,neutral,2,original,2026-04-24
WZ-T-0189,You dey lie,You are lying,negative,anger,,casual,no,matched,Direct accusation of lying,conflict,neutral,2,original,2026-04-24
WZ-T-0190,I no do am,I didn't do it,neutral,neutral,,casual,no,matched,Denial of action,conflict,neutral,1,original,2026-04-24
WZ-T-0191,Na you do am,You did it,negative,anger,,casual,no,matched,Direct accusation,conflict,neutral,2,original,2026-04-24
